doc_id,llm_ATT,llm_SN,llm_PBC,llm_SAT,llm_BI,llm_score_ATT,llm_score_SN,llm_score_PBC,llm_score_SAT,llm_score_BI,llm_flag
55aeaf57b58f0e14,1,0,1,1,1,1.0,0.0,0.8,1.0,1.0,0
30e89376f5fc14e3,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0,0
0729312ed0f8fa78,1,0,1,1,0,0.8,0.0,0.7,0.8,0.0,0
75818b26d1e426f7,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0,0
4304de03891fe91e,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0,0
10967c36bf1c2575,1,0,1,1,0,0.8,0.0,0.9,0.7,0.0,0
13acddb4179e8ace,1,1,0,1,0,0.9,0.8,0.0,0.8,0.0,0
28b21bf9b8dec819,1,1,1,1,0,1.0,0.8,0.9,1.0,0.0,0
566c63443e70f413,1,0,1,1,1,1.0,0.0,1.0,1.0,1.0,0
590d6b22e179e0e7,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0,0
0b834643fda8ab21,1,1,1,1,0,1.0,1.0,0.8,1.0,0.0,0
20ea01ae7b1b8496,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0,0
08a746c571990f26,1,1,1,1,0,1.0,1.0,1.0,1.0,0.0,0
b6be0de27561dd3a,1,0,1,1,0,1.0,0.0,1.0,1.0,0.0,0
ac5bfc4f969ed2cc,1,0,1,1,1,1.0,0.0,0.9,1.0,1.0,0
ecfca42fecaa5dd8,1,1,0,1,1,1.0,0.5,0.0,1.0,1.0,0
1c8a567c8fca1f3b,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0,0
845a24e46ce951ae,1,0,1,1,1,0.9,0.0,0.9,0.9,1.0,1
f42b9e6503bd9da8,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0,0
9ec854b8817bd88d,1,1,1,1,0,1.0,1.0,1.0,1.0,0.0,0
02c5abc2c6f12a13,1,1,0,1,0,0.8,1.0,0.0,0.9,0.0,0
67e74c5ef616796a,1,1,1,1,1,1.0,0.5,1.0,1.0,1.0,0
5d4ac7cf15a29fda,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0,0
8ce68d41db6a63f7,1,0,1,1,0,1.0,0.0,1.0,1.0,0.0,0
92b0fbd57a6de27d,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0
7ab168a2238884e7,1,1,1,1,0,1.0,0.8,0.9,1.0,0.0,0
c6cbe07a2c8522c4,1,0,1,1,0,1.0,0.0,1.0,1.0,0.0,0
1fc2e275babe7597,1,1,1,1,0,1.0,1.0,1.0,1.0,0.0,0
83dc0e65fb2fb0b5,1,1,1,1,1,1.0,0.5,0.5,1.0,1.0,0
4e1d9543d5d7b9ba,1,0,1,1,0,1.0,0.0,1.0,1.0,0.0,0
d7389c7994562d97,1,0,1,1,1,1.0,0.0,1.0,1.0,1.0,0
1820f020d783829f,1,0,1,1,1,1.0,0.0,0.8,1.0,1.0,0
68c8bdd3ddde5fa4,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0
34ef3f4b24e4e9c6,1,0,1,1,1,1.0,0.0,0.8,1.0,1.0,0
a4911321940a7aee,1,1,0,1,1,1.0,1.0,0.0,1.0,1.0,0
