doc_id,ATT,SN,PBC,SAT,BI,n_coders,n_tokens,hits_ATT,hits_SN,hits_PBC,hits_SAT,hits_BI,pres_ATT,pres_SN,pres_PBC,pres_SAT,pres_BI,enc_ATT,nli_ATT,enc_SN,nli_SN,enc_PBC,nli_PBC,enc_SAT,nli_SAT,enc_BI,nli_BI,band,llm_ATT,llm_SN,llm_PBC,llm_SAT,llm_BI,llm_score_ATT,llm_score_SN,llm_score_PBC,llm_score_SAT,llm_score_BI,llm_flag
55aeaf57b58f0e14,1,0,0,0,0,1,111.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7988739,0.9834067821502686,-0.6963136,0.8659058809280396,0.777124,0.1605948805809021,-0.5100925,0.9958499670028687,-0.47025275,0.9704926609992981,70-120,1,0,1,1,1,1.0,0.0,0.8,1.0,1.0,0
30e89376f5fc14e3,1,0,0,0,1,1,66.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8100942,0.9927952289581299,-0.7163402,0.9703806042671204,0.8005408,0.726377010345459,-0.5183616,0.9988144040107727,-0.47044095,0.9986749887466431,40-70,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0,0
0729312ed0f8fa78,1,0,1,1,0,1,494.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-0.9952194,0.03305475041270256,-0.42698124,0.06097518280148506,-0.5417759,0.0002355114120291546,-0.39829788,0.2179194837808609,-0.27680016,0.00980281736701727,120+,1,0,1,1,0,0.8,0.0,0.7,0.8,0.0,0
75818b26d1e426f7,1,0,1,0,1,1,55.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3658545,0.9904220700263977,-0.7479088,0.9902539253234863,-0.8261861,0.02353188395500183,-0.5268428,0.9960622787475586,1.7474021,0.9632651209831238,40-70,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0,0
4304de03891fe91e,1,0,0,0,0,10,64.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3490264,0.9613164663314819,-0.7455057,0.9483461976051331,-0.83827007,0.8487842679023743,-0.5160117,0.9893062710762024,-0.49264318,0.015513787977397442,40-70,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0,0
10967c36bf1c2575,1,0,1,0,0,10,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4162931,0.004166255239397287,-0.6785338,0.9581478834152222,-0.8286742,0.8352820873260498,-0.50788575,0.8720207810401917,-0.47872546,0.0015218156622722745,40-70,1,0,1,1,0,0.8,0.0,0.9,0.7,0.0,0
13acddb4179e8ace,0,1,0,0,0,1,45.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.0110606365,0.9934991002082825,1.3862295,0.9943581223487854,-0.8116286,0.006784358061850071,-0.5273412,0.9957020282745361,-0.48447314,0.022371461614966393,40-70,1,1,0,1,0,0.9,0.8,0.0,0.8,0.0,0
28b21bf9b8dec819,1,1,1,0,0,1,317.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.4044358,0.9834704995155334,0.06681682,0.9887879490852356,-0.28816727,0.003846872365102172,-0.1887409,0.9945940971374512,0.20350488,0.011288073845207691,120+,1,1,1,1,0,1.0,0.8,0.9,1.0,0.0,0
566c63443e70f413,1,0,1,0,0,1,133.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5966505,0.9963286519050598,-0.029200362,0.9430336356163025,-0.38065282,0.028034120798110962,-0.27502742,0.9953181743621826,0.055590633,0.980318546295166,120+,1,0,1,1,1,1.0,0.0,1.0,1.0,1.0,0
590d6b22e179e0e7,1,0,0,0,0,1,44.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-0.081894144,0.7502326965332031,-0.7342812,0.9939613342285156,0.83893985,0.011846236884593964,1.9788332,0.9987454414367676,-0.5144488,0.5506073236465454,40-70,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0,0
0b834643fda8ab21,1,1,1,0,0,1,132.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.784067,0.9943361878395081,1.3405205,0.9731131792068481,0.72462034,0.04240382835268974,2.2168665,0.995226263999939,-0.5238117,0.015276947058737278,120+,1,1,1,1,0,1.0,1.0,0.8,1.0,0.0,0
20ea01ae7b1b8496,1,0,0,0,1,1,185.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.2363327,0.9771755337715149,0.17090793,0.9768686890602112,1.2096088,0.015648597851395607,-0.19661802,0.9757623672485352,0.2438036,0.9959298372268677,120+,1,0,0,1,1,1.0,0.0,0.0,1.0,1.0,0
08a746c571990f26,1,1,1,1,0,10,15.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.3930389,0.19860762357711792,1.4463286,0.994213879108429,-0.86866164,0.030100340023636818,2.0115447,0.9921537637710571,-0.48875004,0.16491955518722534,15-40,1,1,1,1,0,1.0,1.0,1.0,1.0,0.0,0
